文本: 我想预订一张机票, 标签: 预订机票
文本: 请帮我查询天气, 标签: 查询天气
文本: 我想听音乐, 标签: 播放音乐
文本: 天气预报如何, 标签: 查询天气
文本: 播放一首歌, 标签: 播放音乐
文本: 预订从北京到上海的机票, 标签: 预订机票
文本: 如何办理签证, 标签: 签证办理
文本: 签证办理流程, 标签: 签证办理
文本: 查看我的订单, 标签: 订单查询
文本: 订单查询, 标签: 订单查询
文本: 查询明天的天气, 标签: 查询天气
文本: 预订两张电影票, 标签: 预订电影票
文本: 我想预订一个酒店房间, 标签: 预订酒店
文本: 请帮我查一下附近的餐馆, 标签: 查询餐馆
文本: 播放周杰伦的歌, 标签: 播放音乐
文本: 帮我查一下股票行情, 标签: 查询股票
文本: 查看一下今天的新闻, 标签: 查询新闻
文本: 我需要申请新的信用卡, 标签: 申请信用卡
文本: 如何更改账户密码, 标签: 更改密码
文本: 请帮我关闭闹钟, 标签: 关闭闹钟
文本: 预订一个会议室, 标签: 预订会议室
文本: 今天晚上会下雨吗, 标签: 查询天气
文本: 给我推荐几本好书, 标签: 推荐书籍
文本: 查看一下我的购物车, 标签: 订单查询
文本: 播放最新的电影预告片, 标签: 播放电影
文本: 我需要联系客户服务, 标签: 联系客户服务
文本: 今天的汇率是多少, 标签: 查询汇率
文本: 请帮我取消订单, 标签: 取消订单
文本: 查询一下附近的停车场, 标签: 查询停车场
文本: 播放一些放松的音乐, 标签: 播放音乐
文本: 帮我查询一下火车时刻表, 标签: 查询火车时刻表
文本: 预订一辆出租车, 标签: 预订出租车
文本: 查询周末的天气预报, 标签: 查询天气
文本: 帮我查一下最近的医院, 标签: 查询医院
文本: 播放流行音乐, 标签: 播放音乐
文本: 查询一下我的账户余额, 标签: 查询账户余额
文本: 如何充值我的公交卡, 标签: 充值公交卡
文本: 请帮我设置一个提醒, 标签: 设置提醒
文本: 查看一下我的收藏夹, 标签: 查询收藏夹
文本: 帮我找一份简历模板, 标签: 找简历模板
文本: 我想预订机票, 标签: 预订机票
文本: 查询现在的天气, 标签: 查询天气
文本: 播放一首音乐, 标签: 播放音乐
文本: 预订一张从北京到上海的机票, 标签: 预订机票
文本: 如何申请签证, 标签: 签证办理
文本: 签证需要哪些材料, 标签: 签证办理
文本: 查看我的购物订单, 标签: 订单查询
文本: 查询订单状态, 标签: 订单查询
文本: 明天的天气怎么样, 标签: 查询天气
文本: 预订两张电影票, 标签: 预订电影票
文本: 我想订一个酒店, 标签: 预订酒店
文本: 查询附近的餐馆, 标签: 查询餐馆
文本: 播放周杰伦的歌曲, 标签: 播放音乐
文本: 查询一下股票, 标签: 查询股票
文本: 今天的新闻有哪些, 标签: 查询新闻
文本: 申请一张新信用卡, 标签: 申请信用卡
文本: 更改我的账户密码, 标签: 更改密码
文本: 设置一个新的闹钟, 标签: 关闭闹钟
文本: 预订会议室, 标签: 预订会议室
文本: 晚上会下雨吗, 标签: 查询天气
文本: 推荐几本好书, 标签: 推荐书籍
文本: 查看购物车中的商品, 标签: 订单查询
文本: 播放电影预告片, 标签: 播放电影
文本: 联系客户服务中心, 标签: 联系客户服务
文本: 查询今日汇率, 标签: 查询汇率
文本: 帮我取消这张订单, 标签: 取消订单
文本: 附近的停车场有哪些, 标签: 查询停车场
文本: 播放放松音乐, 标签: 播放音乐
文本: 查询火车时刻表, 标签: 查询火车时刻表
文本: 预订出租车服务, 标签: 预订出租车
文本: 查询周末天气, 标签: 查询天气
文本: 最近的医院在哪里, 标签: 查询医院
文本: 播放流行歌曲, 标签: 播放音乐
文本: 查询账户余额, 标签: 查询账户余额
文本: 如何充值公交卡, 标签: 充值公交卡
文本: 设置提醒, 标签: 设置提醒
文本: 查看收藏夹, 标签: 查询收藏夹
文本: 找一份简历模板, 标签: 找简历模板
文本: 我想买一张机票, 标签: 预订机票
文本: 查询天气预报, 标签: 查询天气
文本: 播放歌曲, 标签: 播放音乐
文本: 预订北京到上海的机票, 标签: 预订机票
文本: 如何办理签证手续, 标签: 签证办理
文本: 办理签证需要什么材料, 标签: 签证办理
文本: 查看订单详情, 标签: 订单查询
文本: 订单进度查询, 标签: 订单查询
文本: 明天的天气怎么样, 标签: 查询天气
文本: 预订电影票, 标签: 预订电影票
文本: 我想预订酒店, 标签: 预订酒店
文本: 查询餐馆信息, 标签: 查询餐馆
文本: 播放周杰伦的音乐, 标签: 播放音乐
文本: 查询股票行情, 标签: 查询股票
文本: 今天的新闻有哪些, 标签: 查询新闻
文本: 我需要一张信用卡, 标签: 申请信用卡
文本: 如何更改密码, 标签: 更改密码
文本: 设置一个闹钟, 标签: 关闭闹钟
文本: 预订一个会议室, 标签: 预订会议室
文本: 晚上会下雨吗, 标签: 查询天气
文本: 推荐一些书籍, 标签: 推荐书籍
文本: 查看购物车, 标签: 订单查询
文本: 播放电影预告片, 标签: 播放电影
文本: 联系客户服务, 标签: 联系客户服务
文本: 查询汇率, 标签: 查询汇率
文本: 取消订单, 标签: 取消订单
文本: 查询停车场位置, 标签: 查询停车场
文本: 播放放松的音乐, 标签: 播放音乐
文本: 查询火车时刻表, 标签: 查询火车时刻表
文本: 预订出租车, 标签: 预订出租车
文本: 查询周末的天气, 标签: 查询天气
文本: 最近的医院在哪, 标签: 查询医院
文本: 播放流行音乐, 标签: 播放音乐
文本: 查询我的账户余额, 标签: 查询账户余额
文本: 如何给公交卡充值, 标签: 充值公交卡
文本: 设置提醒功能, 标签: 设置提醒
文本: 查看我的收藏夹, 标签: 查询收藏夹
文本: 找一份简历, 标签: 找简历模板
文本: 我要预订机票, 标签: 预订机票
文本: 查询当前的天气, 标签: 查询天气
文本: 播放一首歌, 标签: 播放音乐
文本: 预订机票从北京到上海, 标签: 预订机票
文本: 签证办理需要什么, 标签: 签证办理
文本: 办理签证的流程, 标签: 签证办理
文本: 查看我的订单状态, 标签: 订单查询
文本: 查询订单信息, 标签: 订单查询
文本: 明天的天气预报, 标签: 查询天气
文本: 预订两张电影票, 标签: 预订电影票
文本: 我想预订酒店房间, 标签: 预订酒店
文本: 查询附近的餐馆, 标签: 查询餐馆
文本: 播放周杰伦歌曲, 标签: 播放音乐
文本: 查看股票行情, 标签: 查询股票
文本: 今天的新闻有哪些, 标签: 查询新闻
文本: 申请信用卡, 标签: 申请信用卡
文本: 更改我的账户密码, 标签: 更改密码
文本: 设置新的闹钟, 标签: 关闭闹钟

